	Compounds	WT_14w	WT_22w	C_14w	C_22w	B_14w	B_22w	W_14w	W_22w	P_14w	P_22w	HMDB	kegg_map
103	N'-Methyl-2-pyridone-5-carboxamide	13.9670929134292	13.5200125380863	14.0916626914341	14.2864734284333	13.9666524934428	13.7692541903897	14.6026586774904	14.3101794996926	14.2972451438748	14.836540946875	HMDB0004193	-
104	N-Acetyl-5-Hydroxytryptamine	12.4889052783122	13.0817333994067	12.3894903852885	12.4930232633908	12.3432130924902	13.0580286523548	12.5069440300734	12.9779368100113	12.3884997381146	12.8688617465389	HMDB0001238	ko00380,ko01100
105	N-Acetyl-Asp-Glu	13.0156986403014	8.31747240069804	12.621998893964	12.5616265230945	12.8267197260995	12.6433612189222	13.0781669746198	13.0466148684653	13.0080724766447	12.7526669271104	HMDB0001067	ko00250,ko01100,ko04080
106	N-Isopropylammelide	11.9514137519242	10.959784164701	12.1224610291048	10.9620164987056	12.2156188375989	11.3752286000636	12.2507992152296	12.0499674976323	11.7815358735004	11.5538847781357	-	ko01100
107	N-Methyl-L-Glutamate	14.8422477499186	14.4867283404392	14.2945334271514	14.6653795964236	15.1857683058556	14.7813108791211	15.0927798546139	15.0674019060052	15.0265206338467	15.117751480847	HMDB0062660	ko01100
108	N1-Acetylspermidine	13.7830442691222	13.1305277203827	13.1741537380042	12.8772543749349	14.0178091520356	13.6643718402208	13.9532876506548	13.9460246758615	13.7528136977061	13.8424017008452	-	-
109	N6-Acetyl-L-Lysine	16.1437487470416	16.5477074921714	16.4802570023875	16.7604537128875	16.5501083851273	16.6996098711218	16.9178116415897	16.779714128293	17.0575479099699	16.930036096481	HMDB0000206	ko00310,ko01100
110	Nicotinic Acid Adenine Dinucleotide	12.5520475541834	12.7843527862306	12.338062973068	12.7958140967069	12.557090956077	12.9026555072585	12.7633600150127	13.0182214811657	13.1977246578621	13.6711500118881	HMDB0000902	ko00190,ko00730,ko00760,ko00983,ko01100,ko01240,ko04152,ko04211,ko04212,ko04925,ko04936,ko04977,ko05208
111	O-Phospho-L-threonine	10.6818719933831	10.7127499813423	10.2556902570327	10.4081560395821	10.4423437014192	10.4169401413374	9.98719649075512	10.4659192434954	10.3178066007789	10.0748663356161	HMDB0011185	ko00860,ko01100
112	Ochratoxin-B	12.0522107160593	11.8224702771705	12.3484751813105	11.8800090725187	11.8020172541751	11.6345121066356	11.7222928951299	11.7703875063157	11.4673081944178	11.008923483702	HMDB0029401	-
113	P-Aminobenzoate	11.8434634740857	11.1842372475573	11.4837492800005	11.3936728858818	13.2550264663769	13.3207773422658	13.5831792557149	13.7352000037535	12.8380627305025	13.2501041144059	HMDB0001392	ko00790,ko01100,ko01240
114	P-Coumaric Acid	16.715983340989	16.9910726756507	16.5134567642987	16.5423190316447	16.739945721001	17.0057720160154	16.2672823616718	16.5269651102866	16.4912178327997	16.5539831130448	HMDB0002035	ko00130,ko00350,ko01100
115	p-Cresol	14.681990321182	15.958823784822	15.5808296509622	15.0146014152881	15.6641477346183	15.7951935206146	15.3346043460619	15.788617780807	15.0545802694056	15.090136933936	HMDB0001858	ko01100,ko04974
116	Pantothenate	14.0533856393012	14.3192650885651	14.2173478563972	14.241937611902	14.110795419862	14.2958610606116	14.6326727995641	14.4659719235503	14.7156263363435	14.8608577740155	HMDB0000210	ko00410,ko00770,ko01100,ko01240,ko04977
117	Phenethylamine	13.566366015964	13.6020551267197	13.3929041377298	13.5170303356143	13.5279172622526	13.7038764312297	13.2268836151857	13.3323730818483	13.451356645303	13.4494449770349	HMDB0012275	ko00360,ko01100
